chart_id,track_id,in_spotify_charts,in_apple_charts,in_deezer_charts,in_shazam_charts
512,512,0,73,0,0
513,513,0,30,0,0
514,514,3,82,0,5
515,515,0,8,2,0
516,516,0,34,0,5
517,517,0,34,0,0
518,518,0,118,2,77
519,519,9,121,4,160
520,520,6,116,0,3
521,521,4,3,0,0
522,522,0,4,0,0
523,523,5,15,0,2
524,524,15,99,2,120
525,525,0,12,0,0
526,526,0,5,1,0
527,527,0,87,0,12
528,528,12,155,6,121
529,529,0,56,0,0
530,530,4,24,0,70
531,531,2,134,0,2
532,532,0,54,0,18
533,533,0,12,0,0
534,534,0,46,1,0
535,535,2,67,1,19
536,536,0,0,0,0
537,537,0,3,0,0
538,538,0,92,0,0
539,539,16,23,1,0
540,540,0,26,0,0
541,541,28,102,5,29
542,542,0,78,1,0
543,543,5,113,0,1
544,544,0,0,0,2
545,545,0,40,1,953
546,546,0,6,1,1
547,547,0,3,0,0
548,548,0,1,0,0
549,549,11,27,0,4
550,550,7,106,1,35
551,551,0,12,0,12
552,552,0,0,1,3
553,553,0,123,0,4
554,554,0,13,0,6
555,555,7,85,0,1
556,556,4,21,0,0
557,557,0,0,0,0
558,558,1,5,0,0
559,559,0,17,0,0
560,560,0,15,0,3
561,561,2,13,1,7
562,562,0,63,0,24
563,563,1,114,0,5
564,564,0,63,0,0
565,565,0,45,0,1
566,566,0,1,0,0
567,567,0,3,12,6
568,568,0,0,0,0
569,569,0,7,0,4
570,570,0,0,0,0
571,571,0,3,0,0
572,572,0,73,0,0
573,573,0,36,13,4
574,574,0,0,0,1
575,575,0,129,0,28
576,576,0,116,0,0
577,577,9,106,0,8
578,578,0,67,0,0
579,579,0,1,0,0
580,580,0,86,0,2
581,581,0,0,0,0
582,582,2,50,1,8
583,583,0,7,0,1
584,584,1,71,2,5
585,585,20,42,0,0
586,586,0,27,0,43
587,587,0,2,11,0
588,588,4,40,9,35
589,589,32,16,1,2
590,590,2,113,1,4
591,591,3,40,1,1
592,592,2,4,0,0
593,593,2,0,1,1
594,594,2,82,0,5
595,595,0,11,0,0
596,596,2,2,1,0
597,597,0,0,0,0
598,598,11,41,1,1
599,599,16,84,7,11
600,600,0,1,0,0
601,601,0,5,0,7
602,602,0,1,0,1
603,603,0,10,0,7
604,604,0,82,1,1
605,605,34,160,1,46
606,606,0,0,0,0
607,607,0,0,0,10
608,608,0,2,0,14
609,609,21,188,3,30
610,610,0,159,0,44
611,611,0,66,0,0
612,612,0,48,0,3
613,613,0,32,15,12
614,614,21,24,1,0
615,615,1,3,0,0
616,616,0,11,0,14
617,617,0,0,0,0
618,618,0,80,3,10
619,619,8,124,0,1
620,620,0,17,0,0
621,621,0,0,0,0
622,622,0,5,0,6
623,623,0,0,0,0
624,624,9,25,0,10
625,625,4,3,0,0
626,626,0,0,0,0
627,627,0,9,0,1
628,628,2,6,0,15
629,629,0,0,0,1
630,630,0,4,0,1
631,631,0,0,0,0
632,632,0,24,0,8
633,633,0,8,0,0
634,634,2,2,0,0
635,635,0,188,0,0
636,636,0,57,2,71
637,637,0,2,0,1
638,638,1,24,0,2
639,639,0,1,0,0
640,640,0,6,0,1
641,641,0,39,0,0
642,642,0,14,0,0
643,643,3,105,0,84
644,644,5,87,0,36
645,645,0,16,0,206
646,646,0,49,21,24
647,647,0,13,0,0
648,648,0,44,0,5
649,649,0,5,0,51
650,650,0,0,0,0
651,651,0,10,0,0
652,652,0,11,1,0
653,653,0,0,0,0
654,654,8,25,1,0
655,655,0,7,0,1
656,656,0,30,1,1
657,657,3,24,0,0
658,658,0,1,0,0
659,659,0,0,0,0
660,660,28,28,0,0
661,661,7,30,0,33
662,662,0,0,0,0
663,663,0,15,0,0
664,664,0,0,0,0
665,665,1,12,0,0
666,666,0,4,1,0
667,667,3,25,0,0
668,668,0,7,0,1
669,669,15,116,7,0
670,670,0,0,0,0
671,671,0,20,0,0
672,672,0,2,0,0
673,673,0,0,0,0
674,674,0,81,0,0
675,675,8,40,1,210
676,676,0,0,0,0
677,677,0,12,11,3
678,678,0,4,0,0
679,679,0,9,0,1
680,680,0,0,0,0
681,681,0,0,0,0
682,682,0,42,0,0
683,683,0,0,0,0
684,684,4,11,0,0
685,685,0,0,0,0
686,686,6,22,0,0
687,687,0,0,0,0
688,688,2,16,0,5
689,689,0,74,1,18
690,690,0,3,0,0
691,691,0,1,0,0
692,692,0,29,0,0
693,693,0,0,0,2
694,694,0,75,0,0
695,695,0,1,0,0
696,696,0,51,0,0
697,697,2,35,1,1
698,698,9,5,0,0
699,699,0,0,0,0
700,700,1,0,0,0
701,701,0,2,0,2
702,702,0,6,0,1
703,703,0,9,1,1
704,704,0,110,0,0
705,705,0,132,0,3
706,706,1,11,0,1
707,707,3,10,0,0
708,708,0,40,0,0
709,709,0,13,0,17
710,710,0,0,0,0
711,711,0,45,0,0
712,712,0,18,0,0
713,713,0,3,0,0
714,714,3,1,0,1
715,715,0,1,1,0
716,716,0,76,0,0
717,717,0,16,0,1
718,718,0,2,0,0
719,719,0,1,0,0
720,720,0,14,0,0
721,721,13,38,1,33
722,722,1,1,0,0
723,723,0,1,0,0
724,724,0,0,0,0
725,725,0,22,0,114
726,726,0,8,2,105
727,727,1,1,0,0
728,728,0,0,0,0
729,729,0,60,1,0
730,730,0,73,0,5
731,731,0,79,0,1
732,732,8,1,0,1
733,733,4,106,0,7
734,734,0,36,0,0
735,735,0,198,1,0
736,736,0,61,14,2
737,737,0,2,2,0
738,738,0,89,0,11
739,739,0,2,0,1
740,740,11,18,1,4
741,741,0,21,0,2
742,742,3,124,1,0
743,743,0,52,0,0
744,744,1,151,3,99
745,745,12,275,3,128
746,746,0,105,0,2
747,747,0,0,0,0
748,748,4,0,0,0
749,749,0,3,0,0
750,750,0,0,0,0
751,751,5,55,0,101
752,752,2,0,0,30
753,753,35,15,0,0
754,754,0,1,0,0
755,755,4,10,0,0
756,756,4,18,0,0
757,757,0,47,0,0
758,758,2,266,0,141
759,759,12,141,0,1
760,760,6,10,0,4
761,761,0,67,0,0
762,762,4,43,1,0
763,763,34,39,0,2
764,764,0,6,1,0
765,765,9,33,1,0
766,766,0,4,1,6
767,767,4,2,1,3
768,768,4,95,9,202
769,769,7,11,0,0
770,770,0,77,1,2
771,771,0,1,11,1
772,772,30,49,2,2
773,773,8,72,1,7
774,774,12,36,1,0
775,775,0,15,0,0
776,776,6,25,1,0
777,777,4,0,0,0
778,778,0,1,0,0
779,779,0,1,0,0
780,780,0,0,0,0
781,781,2,10,1,1
782,782,0,0,0,0
783,783,0,0,0,0
784,784,5,65,1,198
785,785,0,0,0,0
786,786,0,1,0,0
787,787,6,116,0,11
788,788,0,10,0,40
789,789,0,21,0,4
790,790,6,0,2,68
791,791,0,14,0,37
792,792,10,129,0,1
793,793,0,38,0,3
794,794,7,12,2,28
795,795,4,0,0,0
796,796,0,7,0,0
797,797,0,8,0,1
798,798,0,9,0,0
799,799,0,3,0,0
800,800,0,20,0,0
801,801,0,5,0,0
802,802,0,9,0,3
803,803,2,52,0,95
804,804,0,5,0,0
805,805,0,1,0,0
806,806,0,5,0,0
807,807,9,100,1,27
808,808,0,5,0,0
809,809,0,8,0,0
810,810,0,6,0,0
811,811,0,13,1,0
812,812,0,0,0,0
813,813,0,0,0,0
814,814,0,26,0,0
815,815,2,18,1,0
