playlist_id,track_id,in_spotify_playlists,in_apple_playlists,in_deezer_playlists
421,421,3185,38,37
422,422,8612,120,52
423,423,4326,32,65
424,424,680,2,1
425,425,398,2,6
426,426,3328,39,57
427,427,2881,13,34
428,428,2235,65,70
429,429,12403,183,465
430,430,1915,7,15
431,431,2297,11,14
432,432,4375,24,396
433,433,2597,17,38
434,434,1420,7,7
435,435,1292,3,14
436,436,15867,382,497
437,437,1178,9,9
438,438,811,1,6
439,439,1756,38,20
440,440,1014,1,11
441,441,7963,173,298
442,442,4771,68,75
443,443,8559,183,964
444,444,3221,67,139
445,445,3423,61,53
446,446,9151,240,268
447,447,648,14,81
448,448,1184,1,6
449,449,4431,105,199
450,450,759,32,12
451,451,733,0,2
452,452,2795,45,107
453,453,2780,54,57
454,454,1950,56,104
455,455,3947,33,93
456,456,2551,52,35
457,457,5375,138,133
458,458,11975,188,268
459,459,4963,63,76
460,460,6734,47,90
461,461,3047,77,85
462,462,11215,189,525
463,463,1678,20,15
464,464,2035,41,394
465,465,2780,86,59
466,466,3643,69,70
467,467,4779,180,223
468,468,3517,54,43
469,469,5073,83,100
470,470,7545,117,141
471,471,2979,44,159
472,472,7731,110,447
473,473,1057,17,21
474,474,3272,101,70
475,475,14417,237,569
476,476,5199,45,45
477,477,6026,171,187
478,478,1150,20,12
479,479,768,1,3
480,480,3006,23,121
481,481,3098,111,182
482,482,9771,42,384
483,483,807,3,5
484,484,521,17,11
485,485,802,13,8
486,486,788,13,32
487,487,3069,25,105
488,488,4651,24,105
489,489,4999,43,73
490,490,8327,205,625
491,491,3297,25,52
492,492,35684,195,6280
493,493,3506,103,100
494,494,2999,60,154
495,495,3681,20,99
496,496,4846,54,259
497,497,14311,255,582
498,498,4873,65,434
499,499,772,7,89
500,500,1150,20,44
501,501,7370,92,1219
502,502,6890,122,201
503,503,1966,4,50
504,504,2226,29,44
505,505,4204,39,250
506,506,7191,146,478
507,507,2012,101,38
508,508,1211,30,5
509,509,7109,5,862
510,510,6638,167,318
511,511,17354,92,1282
512,512,6392,174,344
513,513,5481,144,86
514,514,2636,36,39
515,515,824,8,8
516,516,14749,188,710
517,517,8087,92,131
518,518,27221,308,4534
519,519,49991,265,12367
520,520,5403,118,96
521,521,755,22,0
522,522,254,0,23
523,523,6308,114,63
524,524,51979,306,5063
525,525,246,2,10
526,526,6556,93,67
527,527,5728,85,179
528,528,16636,368,2854
529,529,461,10,17
530,530,4893,143,110
531,531,1801,77,74
532,532,12043,209,710
533,533,4731,141,78
534,534,22923,78,2515
535,535,9974,272,1066
536,536,1560,72,0
537,537,620,17,3
538,538,580,24,93
539,539,3406,61,70
540,540,903,30,15
541,541,6809,151,175
542,542,33966,141,6591
543,543,590,4,20
544,544,3766,76,102
545,545,31762,142,5451
546,546,4049,119,85
547,547,2096,34,30
548,548,1175,34,31
549,549,29499,124,587
550,550,30427,235,5221
551,551,2711,105,51
552,552,4310,13,113
553,553,5342,33,7
554,554,2393,22,65
555,555,3444,24,102
556,556,272,7,2
557,557,975,11,10
558,558,1034,19,12
559,559,18773,128,1663
560,560,19067,78,1674
561,561,3541,57,50
562,562,1492,44,91
563,563,33206,284,1481
564,564,17115,83,4180
565,565,6955,65,398
566,566,2742,5,62
567,567,2026,47,42
568,568,352,10,39
569,569,1517,42,15
570,570,847,25,14
571,571,910,20,24
572,572,601,28,64
573,573,1800,43,46
574,574,1930,3,28
575,575,33032,363,3895
576,576,6332,47,266
577,577,509,8,6
578,578,2578,8,66
579,579,1064,42,26
580,580,3618,21,138
581,581,1040,8,29
582,582,15010,453,1785
583,583,4708,13,55
584,584,13454,246,519
585,585,4890,52,100
586,586,9514,45,1197
587,587,3501,69,51
588,588,6111,185,492
589,589,5415,46,53
590,590,4673,123,180
591,591,1856,29,31
592,592,200,12,0
593,593,911,45,99
594,594,2954,18,0
595,595,461,7,13
596,596,2844,29,35
597,597,2939,42,24
598,598,695,16,13
599,599,866,27,32
600,600,1729,26,19
601,601,2005,16,43
602,602,1188,13,15
603,603,3659,11,267
604,604,9833,233,531
605,605,50887,315,6284
606,606,3257,10,70
607,607,1473,2,12
608,608,2226,36,11
609,609,23375,336,2692
610,610,28032,315,2179
611,611,290,9,10
612,612,2605,15,50
613,613,8737,163,137
614,614,2499,68,43
615,615,2697,55,32
616,616,2092,75,44
617,617,1185,21,31
618,618,11985,79,250
619,619,753,28,13
620,620,2995,49,30
621,621,225,11,7
622,622,9243,155,577
623,623,918,24,52
624,624,1959,52,32
625,625,540,26,39
626,626,859,14,11
627,627,1116,31,15
628,628,686,11,12
629,629,226,5,4
630,630,1264,20,52
631,631,870,32,49
632,632,7556,124,254
